"channel","publishedAt","textOriginal","source","likeCount","prediction"
"","2024-12-10T13:00:07+0000","A capitalist with a soft spot for royalty. A deep-rooted Southerner with a fondness for stylish New York locales. A gay man, married with children, who has embraced a Republican Party that has sometimes vilified elements, and individuals, of the L.G.B.T.Q. movement.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:27:08Z","I wonder how much prime video paid him?","youtube","1","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-26T22:19:32Z","The God Father is not only not the best movie of all time, it's not even the best mob movie of all time. I'd put Goodfellas over the God father any day.","youtube","0","positive"
"","2024-12-10T20:06:36+0000","There’s a clip of Nikki Giovanni and James Baldwin that keeps popping up on TikTok. The year was 1971. It was a little more than three years after the assassination of Martin Luther King Jr. Richard M. Nixon was president and nowhere close to resigning. “Theme From Shaft” was No. 1 on the Billboard charts, “Imagine” by John Lennon was No. 6 and “Got to Be There” by Michael Jackson was No. 7. Nikki Giovanni was 28 years old, Baldwin was 47, and the two writers met in London to film a conversation for a public television series, “Soul!”","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-27T09:42:09Z","I'm looking forward to you doing a podcast with Christopher Nolan as well","youtube","0","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:33:24Z","Too much money...✅","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:36:20Z","Omg so cool","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-04T17:20:26Z","Kevin spacey is my favorite actor and I really hope he gets to play more epic characters in the future.","youtube","0","positive"
"","2024-12-10T10:03:07+0000","Electric heat pumps, the most affordable and energy efficient way to heat and cool homes, continue to outsell gas furnaces nationwide. They can also reduce outdoor pollution and, as a result, save lives, according to a report issued on Tuesday.","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:33:17Z","I was here","youtube","0","neutral"
"","2024-12-10T20:31:28+0000","Malibu, Calif., has long occupied a particular place in the American imagination, a sun-soaked paradise of coastal bluffs and crashing waves. It is also home to the rich and famous: Dick Van Dyke, Cher and Barbra Streisand are among the many stars who live there.","nytime","","positive"
"","2024-12-10T15:00:06+0000","Storm King Art Center, the 500-acre outdoor museum, announced on Tuesday that Nora Lawrence, its artistic director and chief curator, will succeed its president, John P. Stern, as the institution’s leader in January. It also announced a series of commissions and acquisitions, and a solo show by the Brazilian visual artist Sonia Gomes.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-12-12T04:33:28Z","Attachment theory films.","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-19T14:41:47Z","That opening monologue was ððð","youtube","0","neutral"
"","2024-12-10T20:20:38+0000","Eric Trump flew across the world to headline a cryptocurrency conference in the United Arab Emirates this week and told thousands of enthusiastic attendees that he and his father, the U.S. president-elect, were effectively working in tandem to push crypto, a business sector the family is directly invested in.","nytime","","positive"
"","2024-12-10T15:52:30+0000","The police in The Hague said on Tuesday that they had arrested three people in connection with an explosion at an apartment building in the Dutch city over the weekend that killed at least six people.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:28:45Z","LOVE FROM USA","youtube","1","positive"
"","2024-12-10T20:19:36+0000","Outdated technology, inadequate funding and a failure to follow established procedures contributed to embarrassing missteps at the Bureau of Labor Statistics this year, a panel that examined the episodes said on Tuesday.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:33:21Z","Life Is a mystery","youtube","0","neutral"
"","2024-12-10T17:40:14+0000","As the Assad regime in Syria crumbled over the weekend, the conquering rebels threw open the gates to the prisons where the government had detained tens of thousands of its people, torturing and killing them on an industrial scale.","nytime","","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-14T04:44:21Z","I learn the most from lex's podcasts..","youtube","0","positive"
"","2024-12-10T15:00:08+0000","The metaphor of weaving has informed Frida Escobedo’s design for the Metropolitan Museum of Art’s long-awaited new wing for Modern and contemporary art, which was unveiled on Tuesday.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-28T15:22:25Z","I know at least two then underage guys he r ped","youtube","0","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-22T22:20:06Z","Jesus Lex, I hope it was a cut at 2:13:56","youtube","1","neutral"
"","2024-12-10T11:00:06+0000","On Today’s Episode:","nytime","","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:32:10Z","BRO WHY NOT ON NETFLIX","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-19T18:33:48Z","Legendary actor itâs a hard one definitely","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-01T10:07:35Z","russian audio voice is amazing","youtube","4","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-02T19:50:21Z","Fascinating insight, unexpected interview to be quite honest so well done for that. Who am i to judge anyone, especially someone who has offered so many people so much talent and enjoyable quality screen time over the decades. I hope that Mr Spacey can move on from all the recent problems and with a clearer mind, return to the big screen. I should have mentioned, the movie 'The Ref' with Dennis Leary is hilarious in places, one of those movies that warrants a rewatch every so often.","youtube","0","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:27:28Z","im early","youtube","1","positive"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:06:12Z","Cristiano video with a Cristiano advertisement. 😂","youtube","0","neutral"
"","2024-12-10T17:10:07+0000","Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.","nytime","","positive"
"","2024-12-10T10:03:01+0000","The chef Michael White’s influence remained on several restaurants for years after he left New York to pursue opportunities in Florida, the Bahamas and elsewhere with his BBianco Hospitality Group. Now he’s back in the same location as Alto, his former flagship. Italy is his focus in a space with several dining areas done in neutral tones. Pastas like busiate with saffron and uni, and garganelli with Nantucket bay scallops; crudos, including one with Montauk red shrimp; and plates of pan-roasted squab, monkfish with speck, and a veal chop that pays homage to his years at San Domenico, in Italy, highlight the menu. (Opens Thursday)","nytime","","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:34:02Z","Bro i wanna join","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-19T11:20:26Z","Fincher is the best","youtube","1","positive"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:28:13Z","Hello","youtube","0","neutral"
"","2024-12-10T18:15:18+0000","As flames roared and smoke billowed around their campus, the students gathered in the library at Pepperdine University prayed for safety. They donned masks as acrid smoke filtered into the building. They watched anxiously through the windows as the flames drew closer and even consumed some of the palm trees that dot the scenic Malibu campus.","nytime","","negative"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:25:32Z","U got 80 videos with 71 million  subs😮","youtube","0","neutral"
"","2024-12-10T18:28:05+0000","Under its de facto leader, Crown Prince Mohammed bin Salman, Saudi Arabia has unleashed a spending spree on global sports, turning the kingdom into a contender for the biggest events.","nytime","","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:32:22Z","Still not better than what Cory got comin on the 16th","youtube","0","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-26T19:47:36Z","To destroy this behemoth on the acting fraternity in such a shame","youtube","0","negative"
"UCSHZKyawb77ixDdsGog4iWA","2024-10-24T10:40:48Z","He was brilliant in The Life of David Gale with Cate Winslet. Powerful.","youtube","0","positive"
"","2024-12-10T10:03:06+0000","What would happen if a nuclear weapon detonated in space, destroying the satellites that make so much of our digital existence — and our national security — possible? In this episode, William Hennigan, the lead writer for Times Opinion’s At the Brink series, speaks with the man whose job is to make sure that never happens.","nytime","","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-12-04T13:22:25Z","Lex should interview Kevin Smith","youtube","0","neutral"
"UCSHZKyawb77ixDdsGog4iWA","2024-11-17T03:59:24Z","I believe part of his canceling was due to the fact that he plays a villain so well. I watched clips of Seven after this interview, and underneath almost every video were comments like ""I knew he was a little too comfortable being a serial killer, no ones THAT good an actor."" \n\nNo one wants to believe that someone could decieve us covincingly, therefore Kevin Spacey must have always been evil.","youtube","0","negative"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:25:33Z","Messi or Ronaldo?","youtube","0","neutral"
"UCtxD0x6AuNNqdXO9Wp5GHew","2024-12-14T18:34:53Z","Hi","youtube","0","neutral"
"","2024-12-10T20:13:02+0000","The Supreme Court seemed prepared on Tuesday to rule that a federal agency had done enough to consider the environmental impact of a proposed 88-mile railway in Utah. Such a ruling could limit the scope of environmental reviews required by federal law in all sorts of settings.","nytime","","neutral"
"","2024-12-10T20:45:33+0000","Friends of the 26-year-old charged with killing the chief executive of UnitedHealthcare have said he was dealing with back issues that led to sometimes debilitating pain.","nytime","","neutral"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:30:25Z","Love from Bangladesh 🇧🇩🇧🇩🇧🇩","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-25T01:12:50Z","Iâm all for people redeeming themself but only if itâs genuine. I canât read minds, but judging from the word choice and the body language, and the fact that the whole thing was kinda swept under the rug, makes me think the only thing Kevin regrets is getting caught. If someoneâs redemption means a lot to them, itâd be only natural to get emotional in a situation like this, but Spacey only seems subtly uncomfortable. He hasnât done a good enough apology","youtube","0","positive"
"UCSHZKyawb77ixDdsGog4iWA","2024-09-29T05:50:25Z","Really need Kevin back on more movies","youtube","0","positive"
"","2024-12-10T11:00:07+0000","Last week, the chief executive of UnitedHealthcare was shot and killed in Manhattan. A five-day search for the gunman ensued.","nytime","","negative"
"","2024-12-10T16:00:04+0000","For thousands of years, the shrubs, sedges, mosses and lichens of the Arctic have performed a vital task for the planet: gulping down carbon dioxide from the air and storing the carbon in their tissues. When the plants die, this carbon is entombed in the frigid soil, where it no longer helps warm Earth’s surface.","nytime","","negative"
"UCX6OQ3DkcsbYNE6H8uQQuVA","2024-12-14T18:34:53Z","This month is crazy time ⚡","youtube","2","negative"
